row_id+O6G3A1:R6,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,address_city,address_state,region,product_id,category,sub_category,product_name,price,quantity,sales,cost,profit,returns,payment_mode,year,month,day_name
4918,CA-2019-160304,2019-01-01,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",73.94,1,73.94,45.6732,28.2668,False,Online,2019,1,Tuesday
4919,CA-2019-160304,2019-02-01,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",57.98,3,173.94,135.6732,38.2668,False,Online,2019,2,Friday
4920,CA-2019-160304,2019-02-01,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,TEC-PH-10000455,Technology,Phones,GE 30522EE2,115.99,2,231.98,164.7058,67.2742,False,Cards,2019,2,Friday
3074,CA-2019-125206,2019-03-01,05-01-2019,First Class,LR-16915,Lena Radford,Consumer,United States,Los Angeles,California,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,2,114.46,85.845,28.615,False,Online,2019,3,Friday
8604,US-2019-116365,2019-03-01,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB,15.04,2,30.08,35.344,-5.264,False,Online,2019,3,Friday
8605,US-2019-116365,2019-03-01,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,55.2,3,165.6,171.81,-6.21,False,Online,2019,3,Friday
8606,US-2019-116365,2019-03-01,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,36.192,5,180.96,167.388,13.572,False,Cards,2019,3,Friday
9494,CA-2019-105207,2019-03-01,08-01-2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",227.55,7,1592.85,1242.4229999999998,350.427,False,COD,2019,3,Friday
9495,CA-2019-105207,2019-03-01,08-01-2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,5.94,2,11.88,6.534000000000001,5.346,False,COD,2019,3,Friday
2898,US-2019-164630,2019-04-01,09-01-2019,Standard Class,EB-13975,Erica Bern,Corporate,United States,Charlotte,North Carolina,South,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,239.992,4,959.968,839.972,119.996,False,Online,2019,4,Monday
5868,CA-2019-158211,2019-04-01,08-01-2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004078,Office Supplies,Art,Newell 312,4.672,1,4.672,4.088,0.584,False,Online,2019,4,Monday
5869,CA-2019-158211,2019-04-01,08-01-2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,17.43,6,104.58,184.758,-80.178,False,Online,2019,4,Monday
863,CA-2019-134474,2019-05-01,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,31.912000000000003,6,191.472,150.7842,40.6878,False,COD,2019,5,Wednesday
864,CA-2019-134474,2019-05-01,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,OFF-AR-10003958,Office Supplies,Art,Newell 337,2.624,2,5.248,4.6576,0.5904,False,Online,2019,5,Wednesday
865,CA-2019-134474,2019-05-01,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",29.592,2,59.184,54.0054,5.1786,False,COD,2019,5,Wednesday
2162,CA-2019-101938,2019-07-01,12-01-2019,Standard Class,DW-13480,Dianna Wilson,Home Office,United States,Oakland,California,West,OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,1,34.58,24.5518,10.0282,False,COD,2019,7,Monday
8031,CA-2019-158806,2019-07-01,11-01-2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,Central,FUR-FU-10004270,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",7.692,3,23.076,34.0371,-10.9611,False,COD,2019,7,Monday
8032,CA-2019-158806,2019-07-01,11-01-2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,Central,OFF-PA-10004621,Office Supplies,Paper,Xerox 212,5.184,5,25.92,16.848000000000003,9.072,False,Cards,2019,7,Monday
6851,US-2019-100461,2019-08-01,12-01-2019,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",260.98,6,1565.88,1158.7512000000002,407.1288,False,Online,2019,8,Thursday
6852,US-2019-100461,2019-08-01,12-01-2019,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Central,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,15.15,7,106.05,56.2065,49.8435,False,Cards,2019,8,Thursday
7808,US-2019-137295,2019-08-01,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",4.404,7,30.828,55.4904,-24.6624,False,Cards,2019,8,Thursday
7809,US-2019-137295,2019-08-01,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,OFF-AR-10001955,Office Supplies,Art,Newell 319,15.872,3,47.616,41.664,5.952,False,COD,2019,8,Thursday
7810,US-2019-137295,2019-08-01,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,TEC-PH-10004080,Technology,Phones,Avaya 5410 Digital phone,54.392,2,108.784,97.9056,10.8784,False,COD,2019,8,Thursday
3209,CA-2019-108882,2019-09-01,15-01-2019,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California,West,TEC-AC-10000420,Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,69.99,5,349.95,230.967,118.983,False,COD,2019,9,Sunday
3210,CA-2019-108882,2019-09-01,15-01-2019,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,41.992,9,377.928,236.205,141.723,False,Cards,2019,9,Sunday
3702,CA-2019-126543,2019-09-01,13-01-2019,Second Class,MF-17665,Maureen Fritzler,Corporate,United States,Toledo,Ohio,East,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",7.584,2,15.168,11.376,3.792,False,Cards,2019,9,Sunday
4667,CA-2019-116547,2019-10-01,17-01-2019,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,West,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,19.98,4,79.92,45.5544,34.3656,False,Cards,2019,10,Tuesday
4668,CA-2019-116547,2019-10-01,17-01-2019,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,West,TEC-AC-10002335,Technology,Accessories,Logitech Media Keyboard K200,34.99,2,69.98,56.683800000000005,13.2962,False,COD,2019,10,Tuesday
6970,CA-2019-163937,2019-10-01,13-01-2019,Second Class,JB-16000,Joy Bell-,Consumer,United States,Longview,Washington,West,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",4.970000000000001,5,24.85,17.146500000000003,7.7035,False,Cards,2019,10,Tuesday
1026,CA-2019-126529,2019-11-01,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,OFF-PA-10001166,Office Supplies,Paper,Xerox 2,5.184,3,15.552,10.1088,5.4432,False,Online,2019,11,Friday
1027,CA-2019-126529,2019-11-01,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,OFF-PA-10003656,Office Supplies,Paper,Xerox 1935,21.104,3,63.312,42.7356,20.5764,False,Cards,2019,11,Friday
